customer_id,plan,monthly_price,start_date,upgrade_flag
CUST_00001,Basic,999,2024-04-12,0
CUST_00002,Basic,999,2025-03-11,0
CUST_00003,Basic,999,2024-09-27,0
CUST_00004,Basic,999,2024-04-16,0
CUST_00005,Pro,2499,2024-03-12,0
CUST_00006,Basic,999,2025-12-01,0
CUST_00007,Basic,999,2024-01-21,0
CUST_00008,Enterprise,6999,2025-09-06,0
CUST_00009,Pro,2499,2024-05-01,0
CUST_00010,Basic,999,2025-04-11,0
CUST_00011,Pro,2499,2024-08-02,0
CUST_00012,Basic,999,2024-11-26,0
CUST_00013,Basic,999,2025-04-03,0
CUST_00014,Basic,999,2024-03-28,0
CUST_00015,Basic,999,2025-01-07,0
CUST_00016,Basic,999,2024-04-09,0
CUST_00017,Basic,999,2025-10-25,0
CUST_00018,Basic,999,2024-05-10,0
CUST_00019,Pro,2499,2025-10-23,0
CUST_00020,Pro,2499,2024-11-04,0
CUST_00021,Basic,999,2024-12-09,0
CUST_00022,Pro,2499,2025-05-06,0
CUST_00023,Basic,999,2025-02-17,0
CUST_00024,Pro,2499,2025-01-20,0
CUST_00025,Enterprise,6999,2024-07-10,0
CUST_00026,Basic,999,2024-10-03,0
CUST_00027,Basic,999,2024-06-09,0
CUST_00028,Basic,999,2025-04-04,0
CUST_00029,Pro,2499,2024-11-09,0
CUST_00030,Pro,2499,2024-01-22,0
CUST_00031,Basic,999,2024-09-09,0
CUST_00032,Pro,2499,2025-07-14,0
CUST_00033,Basic,999,2025-04-19,0
CUST_00034,Enterprise,6999,2024-02-28,0
CUST_00035,Basic,999,2025-05-25,0
CUST_00036,Enterprise,6999,2025-11-12,0
CUST_00037,Enterprise,6999,2025-04-20,0
CUST_00038,Enterprise,6999,2025-11-30,0
CUST_00039,Basic,999,2024-07-08,0
CUST_00040,Basic,999,2025-11-17,0
CUST_00041,Pro,2499,2025-07-16,0
CUST_00042,Pro,2499,2025-07-20,0
CUST_00043,Pro,2499,2024-08-31,0
CUST_00044,Basic,999,2025-05-19,0
CUST_00045,Pro,2499,2024-05-10,0
CUST_00046,Basic,999,2025-04-29,0
CUST_00047,Basic,999,2025-10-08,0
CUST_00048,Pro,2499,2024-01-21,0
CUST_00049,Basic,999,2024-06-15,0
CUST_00050,Pro,2499,2024-09-30,0
CUST_00051,Pro,2499,2025-01-22,0
CUST_00052,Pro,2499,2025-08-23,0
CUST_00053,Pro,2499,2024-11-11,0
CUST_00054,Basic,999,2024-01-14,0
CUST_00055,Basic,999,2024-08-29,0
CUST_00056,Basic,999,2024-12-11,0
CUST_00057,Enterprise,6999,2025-07-18,0
CUST_00058,Pro,2499,2024-12-05,0
CUST_00059,Basic,999,2024-04-01,0
CUST_00060,Pro,2499,2025-01-01,0
CUST_00061,Basic,999,2025-03-30,0
CUST_00062,Basic,999,2025-03-03,0
CUST_00063,Pro,2499,2025-05-23,0
CUST_00064,Basic,999,2024-02-04,0
CUST_00065,Pro,2499,2024-07-24,0
CUST_00066,Basic,999,2024-03-21,0
CUST_00067,Pro,2499,2025-07-15,0
CUST_00068,Basic,999,2025-01-22,0
CUST_00069,Basic,999,2024-01-02,0
CUST_00070,Enterprise,6999,2025-01-24,0
CUST_00071,Pro,2499,2025-07-19,0
CUST_00072,Enterprise,6999,2024-04-15,0
CUST_00073,Basic,999,2025-04-21,0
CUST_00074,Basic,999,2025-12-03,0
CUST_00075,Basic,999,2025-02-05,0
CUST_00076,Basic,999,2025-12-30,0
CUST_00077,Basic,999,2025-07-09,0
CUST_00078,Basic,999,2024-06-10,0
CUST_00079,Basic,999,2024-07-20,0
CUST_00080,Basic,999,2024-09-26,0
CUST_00081,Basic,999,2024-09-27,0
CUST_00082,Enterprise,6999,2025-03-31,0
CUST_00083,Basic,999,2025-04-06,0
CUST_00084,Enterprise,6999,2025-12-27,0
CUST_00085,Basic,999,2024-09-08,0
CUST_00086,Basic,999,2025-12-02,0
CUST_00087,Pro,2499,2024-10-22,0
CUST_00088,Pro,2499,2025-12-25,0
CUST_00089,Pro,2499,2025-12-20,0
CUST_00090,Basic,999,2024-12-03,0
CUST_00091,Pro,2499,2024-02-22,0
CUST_00092,Basic,999,2024-08-04,0
CUST_00093,Basic,999,2024-07-06,0
CUST_00094,Enterprise,6999,2025-01-14,0
CUST_00095,Basic,999,2025-05-07,0
CUST_00096,Pro,2499,2024-02-10,0
CUST_00097,Basic,999,2024-06-05,0
CUST_00098,Basic,999,2024-01-15,0
CUST_00099,Pro,2499,2024-03-05,0
CUST_00100,Basic,999,2025-06-04,0
CUST_00101,Basic,999,2024-12-09,0
CUST_00102,Basic,999,2024-05-08,0
CUST_00103,Pro,2499,2025-10-09,0
CUST_00104,Basic,999,2025-04-16,0
CUST_00105,Enterprise,6999,2024-03-03,0
CUST_00106,Enterprise,6999,2024-05-18,0
CUST_00107,Enterprise,6999,2025-05-13,0
CUST_00108,Pro,2499,2025-08-15,0
CUST_00109,Pro,2499,2025-01-26,0
CUST_00110,Pro,2499,2025-11-05,0
CUST_00111,Pro,2499,2025-02-22,0
CUST_00112,Pro,2499,2024-10-15,0
CUST_00113,Enterprise,6999,2025-01-13,0
CUST_00114,Enterprise,6999,2025-05-04,0
CUST_00115,Pro,2499,2024-08-18,0
CUST_00116,Basic,999,2024-02-10,0
CUST_00117,Basic,999,2024-01-28,0
CUST_00118,Basic,999,2024-05-14,0
CUST_00119,Basic,999,2024-07-19,0
CUST_00120,Enterprise,6999,2024-02-02,0
CUST_00121,Enterprise,6999,2024-02-17,0
CUST_00122,Basic,999,2025-05-17,0
CUST_00123,Pro,2499,2025-02-10,0
CUST_00124,Basic,999,2025-07-27,0
CUST_00125,Pro,2499,2025-12-28,0
CUST_00126,Basic,999,2024-04-08,0
CUST_00127,Enterprise,6999,2025-11-14,0
CUST_00128,Basic,999,2025-12-26,0
CUST_00129,Basic,999,2025-06-30,0
CUST_00130,Pro,2499,2025-09-04,0
CUST_00131,Basic,999,2025-04-06,0
CUST_00132,Basic,999,2025-10-04,0
CUST_00133,Basic,999,2024-01-05,0
CUST_00134,Basic,999,2024-08-05,0
CUST_00135,Enterprise,6999,2025-05-17,0
CUST_00136,Basic,999,2025-02-01,0
CUST_00137,Basic,999,2025-01-27,0
CUST_00138,Basic,999,2024-07-25,0
CUST_00139,Basic,999,2024-01-15,0
CUST_00140,Pro,2499,2025-07-07,0
CUST_00141,Basic,999,2025-04-05,0
CUST_00142,Pro,2499,2025-11-21,0
CUST_00143,Pro,2499,2025-07-28,0
CUST_00144,Basic,999,2024-08-28,0
CUST_00145,Pro,2499,2025-07-17,0
